Question,context,ideal_answer,answer,F1 score,bert score,blue score,SentenceSim score,meteor score,rouge score,SimHash score,perplexity score
How can I translate purchasing categories and their descriptions?,"With this app, you can view a worklist of all purchasing categories whose descriptions are relevant for translation. You can choose the name of a purchasing category to navigate to the translation screen, where you can display and edit existing translations, or add new ones.","Via the app ""Translate Purchasing Categories""",How can I translate purchasing categories and their descriptions?,0.42857142857142855,0.6586451351642608,0.0,0.7984607,0.300453514739229,0.4,16,7.000000000000003
How do I create service entry sheets to record that the ordered services have been performed?,"With this app, you can create service entry sheets to record that the ordered services have been performed. You can change these service entry sheets and send them for approval. You can also search for service entry sheets and sort, filter, and group the list: for example, by supplier or by reference purchase order. Lean services are a type of service that can be purchased in the same way as materials using SAP Fiori apps such as Manage Purchase Orders, Manage Service Entry Sheets - Lean Services, and Create Supplier Invoice. These apps enable a lean process of service procurement that is equivalent to the procurement of materials.","Via the app ""Manage Service Entry Sheets – Lean Services""","Create a new document type called ""Service Entry Sheet"" and assign it to the service order.",0.17391304347826086,0.5226022805038252,3.6722546227936345e-155,0.4028811,0.2620720419315267,0.39999999999999997,25,10.8697260706438
What does an integration of SAP Ariba offer?,"SAP Ariba solutions extend the core operational processes, providing full source-to-settle functionality.","Integration with SAP Ariba includes guided buying, collaborative sourcing, and networked-based, end-to-end supplier collaboration to deliver a new and simplified user experience and a seemlessly integrated working model with suppliers using Ariba Network.",Workflows for Reconciliation Close Approval,0.0,0.42613314305033,0.0,0.1996727,0.0,0.0,33,33.99999999999999
What is the benefit of Sourcing with SAP Ariba Sourcing?,"Sourcing with SAP Ariba Sourcing (4BL) enables you to identify sources of supply for purchase requisitions in SAP S/4HANA Cloud, using the community of suppliers in Ariba Network and the SAP Ariba Sourcing solution. Note that this scenario is the successor of Sourcing with SAP Ariba Sourcing (1A0).","Identify sources of supply for purchase requisitions in SAP S/4HANA Cloud, using the community of suppliers in Ariba Network and the SAP Ariba Sourcing solution.",a single source of truth for all your sourcing and procurement activities,0.2352941176470588,0.5563510060310364,1.0518351895246305e-231,0.49737456,0.1851851851851852,0.2631578947368421,26,24.30128172126338
What do I need to know about creating a purchase requisition? ,"A purchase requisition is a request that is made to the purchasing organization to procure a certain list of materials or services. It is an internal document and remains within the organization.
","Use the My Purchase Requisition app to create, view, edit, copy, and delete requests to the purchasing organization to procure materials or services.","You post goods receipts referencing a preceding document, for example, purchase orders or shipping notifications The system suggests all the key data for the goods receipt from the preceding document If the shipping documents you receive do not contain any reference numbers, you have various options for searching for the reference document in the system You can, for example, carry out a search using the internal article number, the EAN, or the delivery date",0.048192771084337345,0.5055495769862669,1.9405994928714764e-232,0.42252737,0.059445178335535,0.10309278350515463,26,21.920575516620474
What are Incoterms?,"With this app you can create and maintain incoterms which are the official rules of the International Chamber of Commerce (ICC) regarding how to define trade terms.
",List of international terms for transportation defined by the International Chamber of Commerce ICC),Incoterms are a set of rules that govern the terms of trade between two parties to a contract of sale.,0.20000000000000004,0.4639100444813569,8.775719106254692e-232,0.28244108,0.09803921568627451,0.23529411764705882,35,13.287581884184227
Where do I work on purchase contracts contracts?,"A purchase contract is a legally binding purchase outline agreement that contains special conditions that are negotiated between a buyer and a seller, regarding the goods to be supplied or services to be performed. It is valid for a specific period, during which goods and services are provided to the buyer.","Use the Manage Purchase Contracts app to view, create, and manage purchase contracts. A purchase contract in SAP S/4HANA Procurement is a legally binding purchase outline agreement between a buyer and a seller.",Controlling.sap.com.sap.com,0.0,0.4617951313654582,0.0,0.40757948,0.0,0.05128205128205128,25,33.99999999999999
Can I do mass changes to purchase contracts?,"With this app, you can update the fields of multiple purchase contracts simultaneously. You can manage the purchase contracts and purchase contract items through online and offline modes. Using the online mode, you can update multiple purchase contracts and purchase contract items in one go from the app list view. Using the offline mode, you can create, update, and delete multiple purchase contracts and purchase contract items in one go using Microsoft Excel.",With the Mass Changes to Purchase Contracts app you can update the fields of multiple purchase contracts simultaneaously in offline and online modes.,no - you post goods receipts referencing a preceding document,0.06896551724137931,0.6010065615177155,8.231055179516831e-232,0.26006982,0.043859649122807015,0.0625,36,23.898073975859756
Where do I find the overdue purchase order items?,"With the Overdue Purchase Order Items app, you can analyze the delivery dates of the purchase orders sent to the supplier. The KPI compares the actual date with the delivery date on item level. All purchase order items for which delivery date has passed and which have not yet been delivered are calculated. You can also use this app to analyze the delivery dates of purchase order items sent to the supplier.


",Use the Overdue Purchase Order Items app to analyze the delivery dates of the purchase orders sent to the supplier. You can also activate situation handling for overdue purchase order items in th Manage Situation Types app.,purchase order history at goods receipt for a purchase order,0.2380952380952381,0.5562973380088806,3.3999706075993257e-155,0.47821453,0.28837209302325584,0.21276595744680854,22,32.642744159411755
Where can I see all my purchasing documents?,"With this app, you can quickly gain an overview of the items in your purchasing documents for each supplier and keep track of those purchasing documents for which you, as a purchaser, are responsible. Besides the count of purchasing document items, the app provides separate tabs for purchase requisitions, purchase orders, good receipts, and supplier invoices. The clear and customizable views let you monitor your purchasing document items for each supplier at the level of detail you require.",The My Purchasing Document Items app gives you an overview and enables you to keep track of the documents for which you are responsible. ,Controlling.sap.com/orders,0.0,0.4591768852302006,0.0,0.23939376,0.0,0.0,27,24.999999999999993
What Analytics are available for purchasing? ,"Central Purchasing Analytics provides users with centralized analyses and the necessary capabilities to better understand the procurement scenarios – both on a holistic level and on a more fine-granular level.
",Analytics are available for Central Purchasing and Procurement.,Data Archiving CO_RATE is available for purchasing.,0.39999999999999997,0.6798204671252858,6.7393716283177006e-155,0.49885714,0.3896604938271605,0.375,23,8.702168795513733
What entails Central Purchasing? ,"Central Procurement offers a Central Purchasing scenario that provides a single point of access to display and manage purchasing documents centrally. The purchasing documents include purchase requisitions and purchase orders. These documents can be those that are created in the SAP S/4HANA Cloud system (which acts as a hub system), or the ones that have been extracted from the connected systems. SAP S/4HANA, SAP S/4HANA Cloud, or SAP ERP act as connected systems. Central Purchasing provides the flexibility of connecting multiple systems across an organization and carrying out procurement processes centrally.",Central Purchasing provides a single point of access to display and manage purchasing documents centrally. ,Central Purchasing is a central purchasing function that is responsible for the procurement of goods and services for all of the entities in the organization.,0.2857142857142857,0.6574585827497336,3.299589129053321e-155,0.6943743,0.16,0.35000000000000003,24,15.713464186369016
Are Machine Learning capabilities available in Procurement?,"SAP applies machine learning intelligence to automate business processes. Machine learning improves the productivity and quality of these processes by making time-efficient decisions and reducing redundant tasks. For example, the system can recommend items that the purchaser can add to the company catalog or predict the quantity consumption of purchase contracts.",Yes. Machine Learning is for example used to recommend items that the purchaser can add to the company catalog. ,no. i.e. no machine learning capabilities,0.1739130434782609,0.5137731254100799,1.012071042130996e-231,0.63179964,0.33938172043010756,0.15384615384615385,28,20.000000000000004
What reporting and monitoring options do I have? ,"The Procurement Overview shows, at a glance, the most important information and tasks relevant for you right now. The information is displayed on set of actionable cards. You can therefore focus on the most important tasks, enabling faster decisions and immediate action.

The cards show you the most important information ranked according to relevance. For example, on the Monitor Purchase Contracts card, you can see the consumption and expiry date per contract. You can then decide to change a contract by selecting it.

You can use the global filter to filter the entire Procurement Overview by supplier or material group, for example. You then see all urgent contracts, purchase requisitions, or spend information according to the specified filter criteria.

For list cards, selecting the header of a card brings you to the app itself, while selecting an item brings you to more detailed item information.

For graphical or analytical cards, selecting the card brings you to more detailed analytical information.

",Check out the Procurement Overview which shows you the most important information ans tasks relevant for you right now. ,You can create reports that track the progress of your value chain and provide you with a comprehensive overview of your supply chain.,0.15789473684210528,0.5763093742231528,9.282655688602082e-232,0.44384408,0.1059322033898305,0.1904761904761905,33,18.746335985440076
How can I manage purchasing categories?,"With this app, you can view a worklist of purchasing categories and edit the purchasing categories in your system. You can use various filter criteria to customize the list of purchasing categories. You can choose the name of a purchasing category to display or edit it.

",Use the Manage Purchasing Categories app to view and edit the purchasing categories.,Define the withholding tax type for each category.,0.0,0.5907095313072205,1.1200407237786664e-231,0.27462137,0.2690058479532164,0.1904761904761905,28,12.71968044726501
What is a purchasing requisition?,A purchase requisition is a request that is made to the purchasing organization to procure a certain list of materials or services. It is an internal document and remains within the organization.,Request to maintain a list of materials or services.,purchase orders or shipping notifications The system suggests all the key data for the goods receipt from the preceding document,0.08333333333333333,0.4515370343412672,3.768893293156672e-232,0.22826687,0.026315789473684213,0.06896551724137932,34,9.947458259305307
Which are the key features of the new self-service procurement app?,"With this app, you, as an employee or casual user can do the following:
* Create, view, edit, copy, and delete self-service purchase requisitions
* Track the status and process flow of your purchase requisitions
* Confirm the receipt of goods
* Return the received goods in case of any issues or defects",Manage your purchase requistions.,"Updating stock at goods receipt Article, Site, Inventory Management Updating purchase order history at goods receipt for a purchase order Ordering Updating of cost values for the goods receipt items in Financial Accounting Financial Accounting Updating of account assignment objects at goods receipt for purchase orders assigned to an account Controlling",0.038461538461538464,0.5242379098607782,8.251611951225883e-236,0.41942555,0.02074688796680498,0.07272727272727272,32,4.9347984009530945
How can I collaborate in SAP S/4HANA with my suppliers?,"Ariba Network Integration enables you to collaborate in SAP S/4HANA Cloud with your suppliers via the Ariba Network. You can send electronic purchase orders to your suppliers, and you can receive purchase order confirmations, advanced shipping notifications, and electronic supplier invoices from the Ariba Network. You exchange the data using cXML messages.",Via Ariba Network integration.,"Updating stock at goods receipt Article, Site, Inventory Management Updating purchase order history at goods receipt for a purchase order Ordering Updating of cost values for the goods receipt items in Financial Accounting Financial Accounting Updating of account assignment objects at goods receipt for purchase orders assigned to an account Controlling",0.0,0.502766371819011,0.0,0.19646536,0.0,0.0,29,5.00000000000001
Can I evaluate my suppliers?,"With Supplier Evaluation and Performance Monitoring (‏SL4‏), you can evaluate your company’s suppliers to obtain a basis for your business relationship with them and to optimize your supply base. Based on the feedback you gather through questionnaires, you obtain a scorecard for each supplier evaluated. The scorecard helps you to assess a supplier’s strengths and shortcomings and to initiate measures for improvement. Evaluation scorecards also enable you to easily compare suppliers within a peer group.

A combined real-time view across operational and questionnaire-based scores provides a holistic view of your supplier’s performance. This scope item provides two different use cases for the category manager: Evaluate supplier performance and Analyze KPIs based on the evaluation.","Yes, use  Supplier Evaluation and Performance Monitoring (‏SL4‏) to evaluate the suppliers.","no, you can only update stock at goods receipt",0.0,0.3826575130224228,9.109159947227211e-232,0.28355888,0.04716981132075472,0.0,31,12.999999999999996
"How can I create, edit or delete source lists?","Manage Source lists: With this app you can create, edit, delete, or manage source lists. You can also search and view source lists based on different criteria such as plant, material, or supplier. You can use purchasing info records or contracts as the sources of supply for purchase requisitions and purchase orders.",Use the Manage Source Lists app,"You can create, edit or delete source lists in the 'Source Lists' tab of the 'Data Archiving' section of the 'Administration' page.",0.16666666666666666,0.5368224699050188,4.180202524697567e-233,0.63154197,0.06024096385542168,0.21428571428571427,25,6.8543919116407555
Which processes are available in the Manage RFQ app?,"* You send your created RFQs later to SAP Ariba Sourcing, where the bidders and suppliers can place their bids. After you have decided which bidder or supplier should receive the award, you send the awarded quotation back to SAP S/4HANA Cloud. A purchase order or a contract is created automatically in the background. You can display it within the Manage Purchase Orders app or within the Manage Purchase Contracts app.
* To request only price and quantity information or shipping costs, you send these RFQs later to the Ariba Network, where the suppliers can create their bids. These bids are sent back to SAP S/4HANA Cloud, where you can award one of them.
* You can also create price requests in SAP S/4HANA Cloud and send them directly to your supplier via e-mail or as a printed version by mail. You receive the quotations from your suppliers and then create the quotations in SAP S/4HANA Cloud manually. For more information, see Working with a Request for Price.","Send RFQs to SAP Ariba Sourcing or Ariba Network for further processing, or create price requests in SAP S/4HANA Cloud to be sent to the suppliers directly.",Reconciliation Close Approval and Reconciliation Close,0.0,0.437856192390124,0.0,0.057713635,0.0,0.0,31,28.00000000000001
How can I view the detailed information for my supplier quotations?,"You can perform the following tasks if you have the business role Purchaser:

Display the list of all quotations
Search for a particular quotation
Display detailed information for a quotation by selecting the corresponding line

Display general information such as creation date, supplier address, and contact data
Display detailed information for items such as the actual item, quantity and pricing details
Submit quotations that are in status In Preparation
Edit quotations that are in status In Preparation or in status Submitted
Delete quotations that are in status In Preparation
Award quotations

",You need the Purchaser role to view supplier quotations.,"You can use the internal article number, the EAN, or the delivery date",0.11111111111111112,0.4891305360943079,7.389560029878221e-232,0.3583365,0.10344827586206895,0.18181818181818185,33,9.68101230507872
Where can I manage my substitution rules during my absence?,"You can use this app to make important decisions via mobile or desktop devices anywhere and anytime. Using this app, you can process your workflow tasks based on the decision options defined in the back-end system. ",Use the My Inbox app. ,in the Substitution Rules section of the Employee Self-Service portal,0.0,0.5269480918844541,5.9764165035645784e-232,0.06778075,0.05208333333333333,0.12500000000000003,33,5.785155024015761
How does an end of purpose (EoP) check in Sourcing and Procurement work?,"Data protection is associated with numerous legal requirements and privacy concerns. In addition to compliance with general data privacy regulation, it is necessary to consider compliance with industry-specific legislation in different countries. SAP provides specific features and functions to support compliance with regard to relevant legal requirements, including data protection.

Sourcing and Procurement provides an end of purpose (EoP) check to determine whether supplier and customer data is still relevant for business activities in the application or can be blocked.","Sourcing and Procurement provides an end of purpose (EoP) check to determine whether supplier and customer data is still relevant for business activities in the application or can be blocked.

When a business partner is blocked, the application does not display any personal data related to this business partner, including the number of the business partner. A business user can neither display or change any information, nor create new business with this business partner. Furthermore, it is not possible to copy a business object or perform follow-up activities for a business object that contains blocked data, and you cannot search for blocked data or search for a business object using blocked data in the search criteria.",The system suggests all the key data for the goods receipt from the preceding document,0.03448275862068966,0.5383303622404735,8.099315788452891e-232,0.30051407,0.1140684410646388,0.09090909090909091,31,70.2869294538081
How do I use the Enterprise Search to evaluate responses in Supplier Evaluation?,"You can use the Enterprise Search for evaluation responses. To do so, you start on the Fiori launchpad and select Responses in the drop-down list in the top right corner. In the search field, you can enter response name, number or the user who created it and then press Enter.","Start on the Fiori launchpad and select Responses in the drop-down list in the top right corner. In the search field, you can enter response name, number or the user who created it and then press Enter.",You can use the Enterprise Search to evaluate responses in Supplier Evaluation.,0.2325581395348837,0.6144106846589309,1.0181865532756278e-231,0.3314436,0.3035391371738569,0.23999999999999996,25,31.15693979800355
Why does the Procurement Overview does not show anything?,"The Procurement Overview shows, at a glance, the most important information and tasks relevant for you right now. The information is displayed on set of actionable cards. You can therefore focus on the most important tasks, enabling faster decisions and immediate action.","To see the information and tasks on the Procurement Overview, you need the Business Catalog RoleSAP_BCR_MM_PRC_OVP_PC assigned to your user.",Extensibility for Revenue Account Determination,0.0,0.5359850909028735,0.0,0.26978666,0.0,0.0,35,21.000000000000007
How can I find out the amount that was spent without a contract in place?,"You can use the Off-Contract Spend app to analyze the total spend amount in relation to purchase orders that do not have a contract assignment. For some items, no negotiated pricing or blanket purchase agreement is in place when they are purchased. These items are defined as non-contract purchases. You can use this app to measure the percentage of purchases made without any contract.","Check out the following apps: Off-Contract Spend, Purchasing Spend Dashboard, and Procurement Overview. Note that you need the SAP_MM_BC_PUR_STRATEGY Business Catalog role assigned to see the information.",You can find out the amount that was spent without a contract in place by contacting the contractor.,0.15384615384615385,0.5407008856534958,3.974539328672128e-155,0.37616372,0.1724137931034483,0.24000000000000005,33,24.58299095981171
What is non-managed spend?,"Shows you the total invoice spend where that spend isn't associated with a purchase order.

You can switch the view between supplier and material group.

The bar chart shows the spend amount as a percentage of the invoiced spend by material group (or supplier). The number shows the value of the non-managed spend.

Selecting the header or the chart brings you to the Purchasing Spend KPI.",This spend isn't associated with a purchase order. It's calculated by subtracting the sum of net spend from the total spend.,uncontrolled spending that is not managed by the organization,0.07692307692307691,0.5255975350737572,1.072268715173723e-231,0.33776766,0.18867924528301888,0.18750000000000003,30,20.159755571710967
Where can I find detailed purchasing spend information?,Purchasing Spend Dashboard,Check out the Details tab on the Purchasing Spend Dashboard app to get details of your purchasing spend information. ,Purchase Orders and Invoices in the Purchase Orders and Invoices tab,0.07407407407407408,0.48098600705464684,1.0244914152188952e-231,0.37747562,0.16806722689075632,0.26666666666666666,29,18.604301919626153
Can I modify the UIs?,"You can use the SAP Web IDE to create your own SAP Fiori user interfaces either from scratch or based on templates. The SAP Fiori user interfaces consume released RESTful OData interfaces. After creation and successful testing, you can deploy these user interfaces into SAP S/4HANA Cloud user interface repository and integrate them into the customer’s SAP Fiori launchpad as new tiles using the Custom Tiles and Custom Catalog Extensions application.","Yes, you can create your own SAP Fiori Uis. There are also BAdIs available to influence the behaviour of the apps.","no, you cannot modify the UIs.",0.16666666666666666,0.6365207632382711,2.0689293863297568e-78,0.4463423,0.48677248677248686,0.22222222222222224,32,19.298188885666892
What functions are available to evaluate suppliers?,Evaluate and monitor the performance of your suppliers. Use questionnaires for scoring suppliers in multiple areas. Leverage this data to instantly benchmark performance and to perform analyses needed to identify valuable suppliers and manage them effectively. Develop the required capabilities for promising suppliers with whom you want to build ongoing relationships.,You can use questionnaires for scoring suppliers. The Supplier Evaluation and Performance Monitoring (SL4) you obtain a scorecard based on the questionnaires.,"Identifying supplier risks and opportunities, assessing the supplier's ability to meet the requirements, and comparing the supplier with other suppliers.",0.16666666666666669,0.606476823091507,4.177908019702813e-155,0.6413637,0.12396694214876033,0.23255813953488372,26,22.69531889534716
What is data archiving used for?,"Data archiving is used to delete data at the end of its lifecycle and to block and delete personal data in SAP S/4HANA Cloud. Archiving moves the personal data from the database to archive files if the end of purpose is reached. In doing so, the personal data is implicitly marked as blocked. Blocked data has access restrictions to prevent further unauthorized processing.",To delete data at the end of its lifecycle.,storing data for later use or for archival purposes,0.11764705882352941,0.49666985538270736,1.0244914152188952e-231,0.47205234,0.05494505494505494,0.1111111111111111,42,9.883615331157483
Which objects can be archived?,"The following table shows the available archiving objects:

Objects in Sourcing and Procurement

Archiving Objects

Purchase Requisitions

MM_EBAN

Purchasing Documents

MM_EKKO

Purchasing Info Records

MM_EINA

Materials Management: Invoice Documents

MM_REBEL","Purchase requisitions, purchasing documents, purchasing info records, materials management and invoice documents.","tables, views, stored procedures, functions, triggers, and user-defined functions",0.09523809523809525,0.4547155909240246,1.2882297539194154e-231,0.31827873,0.14084507042253522,0.0909090909090909,36,12.884895363546544
Who can display blocked data?,"Only users with special authorization can display blocked data; they are not authorized, however, to create, change, or copy business objects with blocked data, or perform follow-up activities with these business objects.",Only users with special authorization.,CO_RATE users with the VIEW_BLOCKED_DATA privilege,0.4000000000000001,0.5618737687667211,7.57965434483665e-155,0.41454938,0.3125,0.2857142857142857,28,5.64621617328617
Are there prerequisites to be fulfilled before a purchase requisition can be archived?,"The following prerequisites need to be fulfilled before a purchase requisition can be archived:

All business checks for the purchase requisition need to be fulfilled.

Note
If the items in the purchase requisition are maintained as a hierarchical list, an item in the list can be archived only if all its children and siblings are closed.

The residence time of each purchase requisition item must have passed.","Yes, all business checks for the purchase requisition need to be fulfilled and the residence time of each purchase requisition item must have passed.",no prerequisites to be fulfilled before a purchase requisition can be archived,0.30303030303030304,0.6189296013779111,2.150689788265971e-78,0.62014663,0.2776119402985075,0.2777777777777778,19,21.822472719434412
Where can I create a new archiving variant?,"When you schedule the archiving run, you need to enter an existing variant or create a new one. You can do so in the Manage Archiving Variants app.

The variant contains the selection criteria for the purchase requisitions that you want to archive.",In the Manage Archiving Variants app.,archiving variants tab of the data archiving options,0.3333333333333333,0.624246460199356,9.709385502639237e-232,0.78186107,0.189873417721519,0.42857142857142855,18,6.8664093565408955
Are there mandatory checks to be carried out on purchasing documents before they can be archived?,"The following checks are carried out on purchasing documents before they can be archived:

Whether residence time 1 has passed (mandatory)

Whether residence time 2 has passed (optional)

Whether the residence time is to be checked against the creation date of the document (optional)","Yes, it needs to be checked whether residence time 1 has passed.",no - the system suggests all the key data for the goods receipt from the preceding document,0.0,0.5661332081345951,0.0,0.26139888,0.0,0.0,29,12.999999999999993
What are reasons why deletion indicator cannot be set for a purchase order item in a log?,"The system gives the following reasons why deletion indicator cannot be set for a purchase order item in a log:

The document could not be blocked.

No additional check is active for the affected document category or document type.

An item is blocked.

The delivery costs have not been cleared for an item.

The blocked stock for an item is not 0.

Down payments exist for an item.

Parked invoices exist for an item.

The GR quantity is not equal to the Gl quantity.

The GR quantity is not equal to the delivered quantity for an item.

The GR quantity is less than the ordered quantity minus the underdelivery tolerance for an item.

The delivery completed indicator has not been set for an item.

The invoiced quantity is not equal to the GR quantity for an item.

The invoiced quantity is less than the ordered quantity for an item.

An item does not satisfy the criteria of the additional checks.

Open rebate arrangements exist.

The last PO history transaction/event for an item lies outside the tolerance.

The date of the last release (call-off) for an item lies outside the tolerance.

No quotation has been entered, or a quotation has not been rejected, or the deadline for submission of quotations has not expired for an item.",In Read Access Logging (RAL).,The purchase order item is not a log item,0.0,0.5820504758093092,0.0,0.2984535,0.05617977528089887,0.14285714285714285,27,6.0
