input,instruction,output
"context: Elemental magnesium is a gray-white lightweight metal, two-thirds the density of aluminium. Magnesium has the lowest melting (923 K (650 °C)) and the lowest boiling point 1,363 K (1,090 °C) of all the alkaline earth metals.\n question: Given this paragraph about magnesium, what is the melting point of magnesium in celsius?",Answer the question based on the context below. ,The melting point of magnesium is 650 °C.
context: \n question: What is the average lifespan of an African Elephant?,Answer the question based on the context below. ,"The average lifespan of an African elephant is between 55 and 65 years in the wild, and up to 70 years in captivity."
"context: The Kawasaki KX 500 is a 499 cc (30.5 cu in) two-stroke single motocross motorcycle made by Kawasaki from 1983 until 2004.

The Kawasaki KX500 was developed as an air-cooled 500cc motocross bike for competition in the 500cc and Open-Class of motocross. At the time of its release, several top manufactured sported entries in this class, including Yamaha, Suzuki, Honda and the class-leading Maico.

Kawasaki developed the bike on an annual basis through the 80's. The addition of liquid cooling in 1985, a new frame with improved suspension in 1987, engine updates in 1988 and reversed forks in 1990 highlight these revisions.

Kawasaki would take several years to produce a competitive bike, and when it finally did, would find the KX500 winning in events for which it was not initially designed for. Its first victories came in 1986, when Donnie Griewe won two National Hare and Hound events. These only foreshadowed Kawasaki's dominance in distance and desert racing that exploded in the 90's.

In 1989 Kawasaki captures its first National MX championship on a KX500, repeating in '90 and '92 before the series was discontinued at the close of the '93 season. But that would not be the end of the KX500's racing legacy.

Beginning in 1992, the KX500 took the victory in every Desert Nationals race through 1995, and continued to win the Desert Nationals Championship every year though 2001. It further cemented its legendary dominance in desert racing by being the victors bike at the Baja 1000 from 1988 through 1996.\n question: Extract from the text the events won by the Kawasaki KX 500 motorcycle, and separate them by a comma.",Answer the question based on the context below. ,"National Hare and Hound, National MX championship, Desert Nationals, Baja 1000"
context: The average student scored 65% in the exam.\n question: Identify the statistical measures of central tendency in the following statement.,Answer the question based on the context below. ,"The statistical measure of central tendency in the statement is the mean. The mean refers to the average of all values. In this case, it is the average student score of 65%."
"context: Goliath[lower-alpha 1] is described in the biblical Book of Samuel as a Philistine giant defeated by the young David in single combat. The story signified Saul's unfitness to rule, as Saul himself should have fought for the Kingdom of Israel.[1]\n question: In what book of the Bible does the story of David and Goliath happen?",Answer the question based on the context below. ,Book of Samuel
context: \n question: List five logical fallacies.,Answer the question based on the context below. ,"Five logical fallacies are ad hominem argument, false dilemma, post hoc ergo propter hoc, straw man fallacy, and begging the question."
context: \n question: Compare the following two countries: USA and India,Answer the question based on the context below. ,"The United States and India are two very distinct nations with a variety of differences. The US is large, powerful and affluent, with a population of over 330 million people. India is a much larger country, with a population of approximately 1.35 billion. India has a much younger population than the US and is less affluent as well. India also has a much more diverse culture, including multiple languages and religions."
"context: Qubes OS is a desktop operating system based around the Xen hypervisor that allows grouping programs into a number of isolated sandboxes (virtual machines) to provide security. Windows for programs running within these sandboxes (""security domains"") can be color coded for easy recognition. The security domains are configurable, they can be transient (changes to the file system will not be preserved), and their network connection can be routed through special virtual machines (for example one that only provides Tor networking). The operating system provides secure mechanisms for copy and paste and for copying files between the security domains.\n question: Is there a secure desktop operating system I can use today?",Answer the question based on the context below. ,Use Qubes OS! It is fairly complete and provide good isolation for most of your applications.
"context: The story sees Bond pitted against the global criminal organisation Spectre, marking the group's first appearance in an Eon Productions film since 1971's Diamonds Are Forever,[N 2] and tying Craig's series of films together with an overarching storyline. Several recurring James Bond characters, including M, Q and Eve Moneypenny return, with the new additions of Léa Seydoux as Dr. Madeleine Swann, Dave Bautista as Mr. Hinx, Andrew Scott as Max Denbigh and Monica Bellucci as Lucia Sciarra.\n question: What group is the enemy of the protagonist?",Answer the question based on the context below. ,Spectre
"context: The Academy (Ancient Greek: Ἀκαδημία) was founded by Plato (428/427 BC – 348/347 BC) in c. 387 BC in Athens. Aristotle  (384–322 BC) studied there for twenty years (367–347 BC) before founding his own school, the Lyceum. The Academy persisted throughout the Hellenistic period as a skeptical school, until coming to an end after the death of Philo of Larissa in 83 BC. The Platonic Academy was destroyed by the Roman dictator Sulla in 86 BC.[1]\n question: When did Plato start the Academy?",Answer the question based on the context below. ,428/427 BC – 348/347 BC
"context: Allman moved to Richmond Hill, Georgia, in 2000, purchasing five acres on the Belfast River. The last incarnation of the Allman Brothers Band was well-regarded among fans and the general public, and remained stable and productive. The band released their final studio album, Hittin' the Note (2003), to critical acclaim. Allman co-wrote many songs on the record with Haynes, and he regarded it as his favorite album by the group since their earliest days. The band continued to tour throughout the 2000s, remaining a top touring act, regularly attracting more than 20,000 fans. The decade closed with a successful fortieth anniversary celebration at the Beacon Theater, where the band would hold residencies most years during their reunion. In 2014, the Allman Brothers Band performed their final concerts, as Haynes and Derek Trucks desired to depart the group.  Allman struggled with health problems during the last years of his life. He was diagnosed with hepatitis C in 2007, which he attributed to a dirty tattoo needle. By the next year, they had discovered three tumors within his liver. He went on a waiting list and after five months, he underwent a successful liver transplant in 2010.  In 2011, Allman went public about his battle with hepatitis C. He headlined Merck and the American Liver Foundation's ""Tune In to Hep C Campaign"" to raise awareness and urge baby boomers to get tested and treated. As part of Tune In to Hep C, The Allman Brothers Band headlined a hepatitis C fundraiser and awareness concert at the Beacon Theater in New York. The concert raised $250,000 to benefit the National Viral Hepatitis Roundtable and the American Liver Foundation for education and awareness efforts. The National Viral Hepatitis Roundtable in October 2017 created the Gregg Allman Hepatitis C Leadership Award - an annual award to posthumously honor Allman and others who work on behalf of people living with hepatitis C. Michael Lehman, Allman's longtime manager, accepted the award on his behalf.  Allman's seventh album, Low Country Blues, was produced by T-Bone Burnett. Upon its release in January 2011, it represented Allman's highest-ever chart peak in the U.S., debuting at number five. He promoted the album heavily in Europe, until he had to cancel the rest of the trip due to an upper respiratory infection. This led to lung surgery later in 2011, and rehab in 2012 for addiction following his treatments. That year, Allman released his memoir, My Cross to Bear, which was thirty years in the making. In 2014, a tribute concert was held celebrating his career; it was later released as All My Friends: Celebrating the Songs & Voice of Gregg Allman. CANNOTANSWER\n question: Where did he tour?",Answer the question based on the context below. ,"The band continued to tour throughout the 2000s, remaining a top touring act, regularly attracting more than 20,000 fans."
"context: Although ideologically tied to the straight edge movement, the initial musical influences of Earth Crisis were mainly from New York hardcore bands such as Agnostic Front, Cro-Mags and Sick Of It All. After the All Out War EP, they developed an increasingly technical and heavier style, citing death metal bands Napalm Death, Bolt Thrower and Obituary as prime inspirations. Buechner's vocals became rougher with each release as well, culminating in the completely gutturally screamed Gomorrah's Season Ends. Terrorizer magazine referred to this album as ""heavy hardcore taken to a new level, all the blackness that was hinted at on Firestorm realized in all its formidable glory."" In this period, many of their songs were built on Merrick's drum beats.  Their third studio album, Breed the Killers, maintained the previous aggressiveness and its growled vocals were ""taken about as far as possible"", but it followed a structure more akin to the ""post-Judge hardcore of the Path of Resistance record Who Dares Wins"", according to Shawn Macomber of Decibel. Dennis Merrick said: ""On Breed the Killers I think we achieved the most honest representation of our sound without sounding too raw or too slick"". Its follow-up, Slither, had a change of style that steered towards nu metal. Buechner declared that, rather than being influenced by other styles, they ""resurrected"" the sound of All Out War in a proper way, which also had melodic choruses and spoken word verses.  Their first post-reunion album, To the Death, was described by Buechner as ""a mixture between Destroying the Machines and Breed the Killers."" According to Stereo Killer, it was ""arguably the band's heaviest offering"" but with ""more traditional verse/chorus/verse"" material. Neutralize the Threat followed a similar path, but ""with a Gomorrah's Season Ends vibe thrown in"", the band stated. Scott Crouse said that he always tried ""to get the perfect blend of heaviness, imagery and listenability"" and that these two albums were the first to ""hit that mark"". Salvation of Innocents included, in addition, some clean vocals that were compared by one reviewer to the sludge metal band Crowbar, as well as ""some elements of European melodic metalcore"" and faster songs.  When asked what ten bands inspired Earth Crisis over the years in a 2016 interview, Scott Crouse named DYS, Judge, Corrosion of Conformity, Agnostic Front, Slayer, Sepultura, Metallica, Conviction, Zero Tolerance and Iron Maiden. CANNOTANSWER\n question: what was the musical style and influences?",Answer the question based on the context below. ,"the initial musical influences of Earth Crisis were mainly from New York hardcore bands such as Agnostic Front, Cro-Mags and Sick Of It All."
"context: Construction work began immediately and the mill buildings were based on Arkwright's own mills in Cromford. Men and boys were sent from New Lanark to Cromford for initial training and the mills began spinning in early 1786, at which point both Dempster and Arkwright left the partnership, leaving Dale as the sole owner. By the 1790s there were nearly 1,400 people living and working in the community .  Business boomed and the village attracted thousands of visitors. Between 1795-1799, for example, over 3,000 visitors came to see what was happening in New Lanark. Many visitors were themselves businessmen & manufacturers (including one Robert Owen). Some were landed gentry and members of the aristocracy; some were politicians, lawyers, bankers, teachers, medics, academics, scientists and a few (William and Dorothy Wordsworth and Samuel Coleridge) were to become famous 'New Romantics'. A surprising number came from abroad - not just from European countries such as Spain, Germany, Italy, Portugal and Norway, but also from several U.S. states (New York, Kentucky, Virginia, Boston, Georgia, North Carolina). From further afield, some came from Barbados, Jamaica, Antigua, Grenada and Dominica and there were even a few from Africa and India (Sierra Leone, Bengal, Calcutta).  What were they coming to see? They were attracted by a very successful spinning business but New Lanark was more famous as a model factory community where business, philanthropy and education all came together for the first time anywhere in Britain. The community became as famous for its social & educational provision as it did for anything else - something which Robert Owen was later to capitalise upon. CANNOTANSWER\n question: What happened to David Dale in New Lanark?",Answer the question based on the context below. ,"began spinning in early 1786,"
context: \n question: Create a JavaScript program to print the maximum and minimum of given numbers?,Answer the question based on the context below. ,"function maxAndMin(nums){
  let max = Math.max(...nums);
  let min = Math.min(...nums);
  console.log('Max value: ', max);
  console.log('Min value: ', min);
}"
"context: [3, 4, <noinput>]\n question: Add values to the following list [3, 4, 5]",Answer the question based on the context below. ,"[3, 4, 5]"
"context: While the new plebeian nobility made social, political and religious inroads on traditionally patrician preserves, their electorate maintained their distinctive political traditions and religious cults. During the Punic crisis, popular cult to Dionysus emerged from southern Italy; Dionysus was equated with Father Liber, the inventor of plebeian augury and personification of plebeian freedoms, and with Roman Bacchus. Official consternation at these enthusiastic, unofficial Bacchanalia cults was expressed as moral outrage at their supposed subversion, and was followed by ferocious suppression. Much later, a statue of Marsyas, the silen of Dionysus flayed by Apollo, became a focus of brief symbolic resistance to Augustus' censorship. Augustus himself claimed the patronage of Venus and Apollo; but his settlement appealed to all classes. Where loyalty was implicit, no divine hierarchy need be politically enforced; Liber's festival continued.\n question: What did the patrician electorate keep in spite of a new plebeian nobility? ",Answer the question based on the context below. ,political traditions and religious cults
context: \n question: Write a script that prints a 4x4 spiral of numbers from 1 to 16.,Answer the question based on the context below. ,"""""""
Script that prints a 4x4 spiral of numbers from 1 to 16
""""""

def printSpiral(n): 
  
    k = 0

    for i in range(n): 
  
        for j in range(n) : 
            print(k, end="" "") 
            k = k + 1
  
        print() 

if __name__ == '__main__':
    n = 4
    printSpiral(n) 

# Output 
# Output:
# 0 1 2 3 
# 11 10 9 8 
# 12 13 14 7 
# 15 16 5 4 
# 17 6 3 2"
context: \n question: Suggest an AI based system that can be used in marketing.,Answer the question based on the context below. ,"AI can be used in marketing to generate targeted and personalized ads, providing relevant information to the right audiences. AI can also be used to improve customer segmentation and identify customer behavior patterns to develop better marketing strategies. AI-based systems can leverage natural language processing for sentiment analysis and conversational AI for customer service. Additionally, AI-powered predictive analytics can be used to forecast customer demand, enabling marketers to anticipate customer needs and generate more successful marketing campaigns."
context: elephant\n question: Come up with a creative way to use the given word in a sentence,Answer the question based on the context below. ,She felt like a small elephant in a room full of giant people.
context: Bringing guns to school\n question: Predict a consequence of the following action.,Answer the question based on the context below. ,"Bringing guns to school could lead to serious consequences such as expulsion, suspension, criminal charges, or even death."
"context: Stallman places great importance on the words and labels people use to talk about the world, including the relationship between software and freedom. He asks people to say free software and GNU/Linux, and to avoid the terms intellectual property and piracy (in relation to copyright). One of his criteria for giving an interview to a journalist is that the journalist agree to use his terminology throughout the article. He has been known to turn down speaking requests over some terminology issues.  Stallman argues that the term ""intellectual property"" is designed to confuse people, and is used to prevent intelligent discussion on the specifics of copyright, patent, trademark, and other laws by lumping together areas of law that are more dissimilar than similar. He also argues that by referring to these laws as property laws, the term biases the discussion when thinking about how to treat these issues.  These laws originated separately, evolved differently, cover different activities, have different rules, and raise different public policy issues. Copyright law was designed to promote authorship and art, and covers the details of a work of authorship or art. Patent law was intended to encourage publication of ideas, at the price of finite monopolies over these ideas - a price that may be worth paying in some fields and not in others. Trademark law was not intended to promote any business activity, but simply to enable buyers to know what they are buying.  An example of cautioning others to avoid other terminology while also offering suggestions for possible alternatives is this sentence of an e-mail by Stallman to a public mailing list:  I think it is ok for authors (please let's not call them creators, they are not gods) to ask for money for copies of their works (please let's not devalue these works by calling them content) in order to gain income (the term compensation falsely implies it is a matter of making up for some kind of damages). CANNOTANSWER\n question: Can you provide information on Terminology?",Answer the question based on the context below. ,"Stallman places great importance on the words and labels people use to talk about the world,"
"context: The Kawasaki KX 500 is a 499 cc (30.5 cu in) two-stroke single motocross motorcycle made by Kawasaki from 1983 until 2004.

The Kawasaki KX500 was developed as an air-cooled 500cc motocross bike for competition in the 500cc and Open-Class of motocross. At the time of its release, several top manufactured sported entries in this class, including Yamaha, Suzuki, Honda and the class-leading Maico.

Kawasaki developed the bike on an annual basis through the 80's. The addition of liquid cooling in 1985, a new frame with improved suspension in 1987, engine updates in 1988 and reversed forks in 1990 highlight these revisions.

Kawasaki would take several years to produce a competitive bike, and when it finally did, would find the KX500 winning in events for which it was not initially designed for. Its first victories came in 1986, when Donnie Griewe won two National Hare and Hound events. These only foreshadowed Kawasaki's dominance in distance and desert racing that exploded in the 90's.

In 1989 Kawasaki captures its first National MX championship on a KX500, repeating in '90 and '92 before the series was discontinued at the close of the '93 season. But that would not be the end of the KX500's racing legacy.

Beginning in 1992, the KX500 took the victory in every Desert Nationals race through 1995, and continued to win the Desert Nationals Championship every year though 2001. It further cemented its legendary dominance in desert racing by being the victors bike at the Baja 1000 from 1988 through 1996.\n question: Extract from the text the events won by the Kawasaki KX 500 motorcycle, and separate them by a comma.",Answer the question based on the context below. ,"National Hare and Hound, National MX championship, Desert Nationals, Baja 1000"
context: \n question: Construct a python class for an apple.,Answer the question based on the context below. ,"class Apple:
    def __init__(self, color, size):
        self.color = color
        self.size = size
    
    def get_color(self):
        return self.color
    
    def get_size(self):
        return self.size"
"context: In 1973, Bakshi and Ruddy began the production of Harlem Nights, which Paramount was originally contracted to distribute. While Fritz the Cat and Heavy Traffic proved that adult-oriented animation could be financially successful, animated films were still not respected, and Bakshi's pictures were considered to be ""dirty Disney flicks"" that were ""mature"" only for depicting sex, drugs and profanity. Harlem Nights, based on Bakshi's firsthand experiences with racism, was an attack on racist prejudices and stereotypes. Bakshi cast Scatman Crothers, Philip Michael Thomas, Barry White and Charles Gordone in live-action and voice roles, cutting in and out of animation abruptly rather than seamlessly because he wanted to prove that the two mediums could ""coexist with neither excuse nor apology"". He wrote a song for Crothers to sing during the opening title sequence: ""Ah'm a Niggerman"". Its structure was rooted in the history of the slave plantation: slaves would ""shout"" lines from poems and stories great distances across fields in unison, creating a natural beat. Bakshi has described its vocal style, backed by fast guitar licks, as an ""early version of rap"".  Bakshi intended to attack stereotypes by portraying them directly, culling imagery from blackface iconography. Early designs in which the main characters (Brother Rabbit, Brother Bear and Preacher Fox) resembled figures from The Wind in the Willows were rejected. Bakshi juxtaposed stereotypical designs of blacks with even more negative depictions of white racists, but the film's strongest criticism is directed at the Mafia. Bakshi said, ""I was sick of all the hero worship these guys got because of The Godfather."" Production concluded in 1973. During editing, the title was changed to Coonskin No More..., and finally to Coonskin. Bakshi hired several African American animators to work on Coonskin, including Brenda Banks, the first African American female animator. Bakshi also hired graffiti artists and trained them to work as animators. The film's release was delayed by protests from the Congress of Racial Equality, which called Bakshi and his film racist. After its distribution was contracted to the Bryanston Distributing Company, Paramount canceled a project that Bakshi and Ruddy were developing, The American Chronicles.  Coonskin, advertised as an exploitation film, was given limited distribution and soon disappeared from theaters. Initial reviews were negative; Playboy commented that ""Bakshi seems to throw in a little of everything and he can't quite pull it together."" Eventually, positive reviews appeared in The Hollywood Reporter, New York Amsterdam News (an African American newspaper) and elsewhere. The New York Times' Richard Eder said the film ""could be [Bakshi's] masterpiece [...] a shattering successful effort to use an uncommon form--cartoons and live action combined to convey the hallucinatory violence and frustration of American city life, specifically black city life [...] lyrically violent, yet in no way [does it] exploit violence"". Variety called it a ""brutal satire from the streets"". A reviewer for the Los Angeles Herald-Examiner wrote, ""Certainly, it will outrage some and, indeed, it's not Disney. [...] The dialog it has obviously generated--if not the box office obstacles--seems joltingly healthy."" Bakshi called Coonskin his best film. CANNOTANSWER\n question: Is coonskin a movie?",Answer the question based on the context below. ,"Coonskin, advertised as an exploitation film,"
"context: The earliest examples of longer-wheelbase, civilian, wagon-type SUVs (using the term retrospectively) were truck-framed station wagons and carry-alls, to which four-wheel drive was added – first of all the 1946 Willys Jeep Station Wagon, launched a year before its 1947 Jeep Truck sibling. Though Willys sold it as a ""Jeep"", it wasn't offered with four-wheel drive until 1949. The all-steel GMC and Chevrolet Suburban Carryall that dated back to 1935, the 1953 International Harvester Travelall, and the 1954 Dodge (Power) Town Wagon were all large station-wagon bodied versions of light trucks that were made available with 4-wheel drive in 1956/1957.[38][39] GMC and Chevy initially only offered the 4x4 option in the form of a dealer-installed NAPCO Power-Pak aftermarket conversion kit — factory four-wheel drive only arrived in 1960.[40][38] In Britain, also from 1956, the Land Rover Series I line was expanded with a 107-inch long-wheelbase version, including a 10-seat station wagon which used very simple metal panels and bolt-together construction, intended to be used both as commercial vehicles and people-carriers.\n question: When was the SUV invented?",Answer the question based on the context below. ,1935
"context: The process was completed in 27 BC when the Roman Emperor Augustus annexed the rest of Greece and constituted it as the senatorial province of Achaea. Despite their military superiority, the Romans admired and became heavily influenced by the achievements of Greek culture, hence Horace's famous statement: Graecia capta ferum victorem cepit (""Greece, although captured, took its wild conqueror captive""). The epics of Homer inspired the Aeneid of Virgil, and authors such as Seneca the younger wrote using Greek styles. Roman heroes such as Scipio Africanus, tended to study philosophy and regarded Greek culture and science as an example to be followed. Similarly, most Roman emperors maintained an admiration for things Greek in nature. The Roman Emperor Nero visited Greece in AD 66, and performed at the Ancient Olympic Games, despite the rules against non-Greek participation. Hadrian was also particularly fond of the Greeks; before he became emperor he served as an eponymous archon of Athens.\n question: What Roman Emperor became the ruler of all of Greece?",Answer the question based on the context below. ,Augustus
context: Possibly the first venture into fictional treatments of Chopin's life was a fanciful operatic version of some of its events. Chopin was written by Giacomo Orefice and produced in Milan in 1901. All the music is derived from that of Chopin.\n question: When was the first fictionalized account of Chopin's life?,Answer the question based on the context below. ,1901
"context: Galicia was late to catch the tourism boom that has swept Spain in recent decades, but the coastal regions (especially the Rías Baixas and Santiago de Compostela) are now significant tourist destinations and are especially popular with visitors from other regions in Spain, where the majority of tourists come from. In 2007, 5.7 million tourists visited Galicia, an 8% growth over the previous year, and part of a continual pattern of growth in this sector. 85% of tourists who visit Galicia visit Santiago de Compostela. Tourism constitutes 12% of Galician GDP and employs about 12% of the regional workforce.\n question: Which two coastal regions are now major tourist destinations?",Answer the question based on the context below. ,Rías Baixas and Santiago de Compostela
